	id	name	datetime	val	weekday
49	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-22 00:00:00+01:00	5.958333333333333	Sunday
50	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-23 00:00:00+01:00	12.125	Monday
51	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-24 00:00:00+01:00	15.25	Tuesday
52	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-25 00:00:00+01:00	12.458333333333334	Wednesday
53	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-26 00:00:00+01:00	12.833333333333334	Thursday
54	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-27 00:00:00+01:00	15.0	Friday
55	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-28 00:00:00+01:00	15.583333333333334	Saturday
56	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-29 00:00:00+01:00	8.0	Sunday
57	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-30 01:00:00+02:00	15.91304347826087	Monday
58	BBI-001	Brandenburg - Flughafen Schönefeld	2020-03-31 01:00:00+02:00	13.708333333333334	Tuesday
59	BBI-001	Brandenburg - Flughafen Schönefeld	2020-04-01 01:00:00+02:00	14.166666666666666	Wednesday
60	BBI-001	Brandenburg - Flughafen Schönefeld	2020-04-02 01:00:00+02:00	11.0	Thursday
61	BBI-001	Brandenburg - Flughafen Schönefeld	2020-04-03 01:00:00+02:00	7.375	Friday
62	BBI-001	Brandenburg - Flughafen Schönefeld	2020-04-04 01:00:00+02:00	15.434782608695652	Saturday
63	BBI-001	Brandenburg - Flughafen Schönefeld	2020-04-05 01:00:00+02:00	7.478260869565218	Sunday
64	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-02 00:00:00+01:00	7.0	Sunday
65	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-03 00:00:00+01:00	8.958333333333334	Monday
66	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-04 00:00:00+01:00	9.833333333333334	Tuesday
67	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-05 00:00:00+01:00	6.791666666666667	Wednesday
68	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-06 00:00:00+01:00	14.75	Thursday
69	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-07 00:00:00+01:00	16.666666666666668	Friday
70	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-08 00:00:00+01:00	18.583333333333332	Saturday
71	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-09 00:00:00+01:00	13.583333333333334	Sunday
72	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-10 00:00:00+01:00	5.708333333333333	Monday
73	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-11 00:00:00+01:00	5.541666666666667	Tuesday
74	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-12 00:00:00+01:00	6.375	Wednesday
75	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-13 00:00:00+01:00	11.583333333333334	Thursday
76	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-14 00:00:00+01:00	15.083333333333334	Friday
77	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-15 00:00:00+01:00	15.166666666666666	Saturday
78	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-16 00:00:00+01:00	7.791666666666667	Sunday
79	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-17 00:00:00+01:00	5.833333333333333	Monday
80	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-18 00:00:00+01:00	5.5	Tuesday
81	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-19 00:00:00+01:00	8.041666666666666	Wednesday
82	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-20 00:00:00+01:00	14.083333333333334	Thursday
83	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-21 00:00:00+01:00	8.041666666666666	Friday
84	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-22 00:00:00+01:00	6.375	Saturday
85	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-23 00:00:00+01:00	5.208333333333333	Sunday
86	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-24 00:00:00+01:00	7.333333333333333	Monday
87	DEBB007	Brandenburg - Elsterwerda - Lauchhammerstr.	2020-02-25 00:00:00+01:00	7.25	Tuesday
